sample,Alcaligenaceae,Rhizobium,Stenotrophomonas,Pseudomonas,Brevundimonas,Variovorax,Cupriavidus,Ochrobactrum,Lysinibacillus,Sanguibacter,Shinella,Paenibacillus,Propionibacterium,Flavobacterium,Bacillus,Methylobacterium,Bordetella,Arthrobacter,Microbacterium,total,transfer,carbon,treatment,richness,depth
103,17577,17770,21177,2285,6921,158,169,103,12,158,619,202,8,19,0,0,0,0,0,67179,bead,ara,ara_bead,14,67178
104,25784,25864,23863,3230,3749,133,242,0,36,1,756,266,12,71,0,0,0,1,0,84013,bead,ara,ara_bead,14,84008
106,22035,22228,26761,2888,5972,224,225,43,31,778,1202,215,4,37,0,0,1,0,0,82646,bead,ara,ara_bead,15,82644
107,35461,35464,21970,2505,2123,62,100,1,12,0,619,107,7,42,1,0,0,0,0,98474,bead,ara,ara_bead,14,98474
108,18655,18924,26050,4889,13042,403,266,280,47,801,1088,356,11,6,1,0,0,0,0,84824,bead,ara,ara_bead,15,84819
85,17220,17221,36597,10128,1481,0,504,50,67,1,1711,87,0,2,2,0,1,2,2,85076,liquid,ara,ara_liquid,16,85076
86,13560,13563,38683,5870,221,4,1147,3,13,0,1134,6,0,360,1,0,0,1,2,74568,liquid,ara,ara_liquid,15,74568
87,10134,10135,22971,15721,8131,2519,638,439,88,0,773,281,24,0,2,0,0,0,2,71858,liquid,ara,ara_liquid,14,71858
88,13236,13240,26690,7890,2752,3001,1330,277,382,0,600,651,5,112,0,0,0,2,1,70169,liquid,ara,ara_liquid,15,70169
89,12308,12309,26690,7596,2571,2804,1624,118,399,1,501,636,4,2,1,0,0,1,0,67565,liquid,ara,ara_liquid,16,67565
90,14020,14087,17112,8566,3896,2508,568,272,108,0,666,418,0,0,1,0,0,1,1,62224,liquid,ara,ara_liquid,14,62224
1,11072,11078,18436,14316,928,22,6,0,17,0,3,187,0,0,0,1,1,0,0,56067,none,ara,ara_none,12,56067
2,12271,12280,22897,6172,358,0,31,0,4,0,26,31,0,0,0,0,1,0,0,54071,none,ara,ara_none,10,54071
3,18245,18249,18041,6373,593,3,16,0,13,0,29,76,0,0,0,49,2,0,0,61689,none,ara,ara_none,12,61689
4,14935,14940,18044,11886,352,30,149,0,8,0,18,11,0,0,0,95,1,0,0,60469,none,ara,ara_none,12,60469
5,13545,13545,13165,7896,615,11,121,0,6,1,19,3,0,0,0,6,0,2,1,48936,none,ara,ara_none,14,48936
6,15136,15142,22497,5006,203,0,14,3,0,1,19,6,0,0,0,1,2,1,0,58031,none,ara,ara_none,13,58031
7,13144,13148,25872,5940,531,0,68,1,8,1,16,4,0,0,0,2,0,1,0,58736,none,ara,ara_none,13,58736
8,8218,8219,26190,9557,797,5,8,72,14,0,6,1,0,1,0,0,1,0,0,53089,none,ara,ara_none,13,53089
9,7281,7286,18282,4907,139,12,114,0,5,1,16,4,0,1,0,0,0,0,0,38048,none,ara,ara_none,12,38048
10,10075,10078,15789,7925,721,11,64,0,10,0,12,2,0,0,0,0,2,0,0,44689,none,ara,ara_none,11,44689
11,11587,11593,22316,3780,424,0,19,0,2,0,16,3,0,0,0,1,1,0,0,49742,none,ara,ara_none,11,49742
12,17047,17057,14381,11189,225,22,121,0,5,1,16,3,0,0,0,0,2,0,0,60069,none,ara,ara_none,12,60069
109,35377,43631,3375,13054,7950,458,119,30,373,294,4,1652,5,0,0,0,2,0,0,106324,bead,glu,glu_bead,14,106324
110,25191,30843,5764,5634,5821,347,710,3,863,1794,16,3803,3,0,2,0,1,2,0,80797,bead,glu,glu_bead,16,80797
111,25844,27674,4086,9802,8528,1373,371,34,948,1626,3,2568,2,0,0,0,1,1,0,82861,bead,glu,glu_bead,15,82861
112,27129,28770,3532,6978,4144,653,547,13,1070,1120,2,3243,1,0,1,0,2,1,0,77206,bead,glu,glu_bead,16,77206
113,23777,25757,4763,9989,5219,403,394,32,1144,1408,6,2353,2,0,0,0,0,0,1,75248,bead,glu,glu_bead,14,75248
114,38490,39686,4063,11318,3832,1291,727,57,1280,1423,9,3009,6,0,0,1,1,1,0,105194,bead,glu,glu_bead,16,105194
91,14767,14927,26728,935,3863,281,370,142,28,42,1277,281,6,10,0,0,0,0,0,63658,liquid,glu,glu_liquid,14,63657
92,8230,8318,35207,798,1549,370,1497,72,14,5499,680,179,0,7,0,0,0,0,0,62420,liquid,glu,glu_liquid,13,62420
93,8068,8132,15807,1898,4479,414,299,289,20,1395,1019,118,2,1,1,0,0,0,0,41942,liquid,glu,glu_liquid,15,41942
94,22269,24129,28647,1318,6123,369,401,132,21,397,1597,389,1,2,2,0,0,0,1,85798,liquid,glu,glu_liquid,16,85798
95,10957,11243,29107,1057,4569,345,481,222,17,1717,873,173,7,6,1,0,1,1,0,60777,liquid,glu,glu_liquid,17,60777
96,43290,43449,11731,1621,3296,502,202,10,67,465,866,255,12,2,0,0,1,0,0,105769,liquid,glu,glu_liquid,15,105769
13,12237,12240,41858,13262,131,0,9,1,1,0,41,110,0,171,0,69,0,0,0,80130,none,glu,glu_none,12,80130
14,23398,23401,32186,4562,225,2,145,0,0,0,13,49,0,234,0,36,1,1,0,84253,none,glu,glu_none,13,84253
15,4080,4083,26961,6132,89,2,0,4,0,0,4,157,0,20,0,3,0,1,0,41536,none,glu,glu_none,12,41536
16,4972,4974,33283,5137,261,7,3,4,1,0,1,5,0,3,0,0,1,0,1,48653,none,glu,glu_none,14,48653
17,7772,7775,27147,6720,245,0,10,1,2,0,27,5,0,1,0,0,0,0,1,49706,none,glu,glu_none,12,49706
18,6920,6921,27722,8948,87,0,3,0,20,0,12,10,0,205,0,0,0,0,1,50849,none,glu,glu_none,11,50849
19,6410,6410,30514,7273,158,1,86,0,0,0,16,3,0,29,0,0,0,0,1,50901,none,glu,glu_none,11,50901
20,23204,23205,30795,7464,309,1,31,0,1,0,19,2,0,235,0,1,2,1,1,85271,none,glu,glu_none,15,85271
21,8165,8169,27609,2810,86,1,15,0,0,0,19,2,0,8,0,2,1,0,0,46887,none,glu,glu_none,12,46887
22,3971,3974,22908,11497,322,0,39,0,0,0,14,3,0,0,0,0,0,0,0,42728,none,glu,glu_none,8,42728
23,22123,22124,18664,8675,178,0,52,0,0,0,16,1,0,11,0,0,1,0,0,71845,none,glu,glu_none,10,71845
24,5582,5599,41301,11082,439,2,10,43,2,0,18,9,4,40,0,0,0,0,0,64131,none,glu,glu_none,13,64131
115,14990,15434,4529,1143,2309,242,155,69,39,489,1,216,3,0,0,0,1,1,0,39621,bead,leu,leu_bead,15,39621
116,30289,30530,3972,2117,4518,183,189,25,23,880,3,231,6,0,1,0,3,1,0,72971,bead,leu,leu_bead,16,72971
117,25474,26024,10316,2528,7253,505,385,229,56,2093,5,311,14,0,1,0,2,0,0,75197,bead,leu,leu_bead,15,75196
118,35405,36950,6147,3970,2932,323,309,101,61,1239,8,560,11,0,0,0,4,2,0,88024,bead,leu,leu_bead,15,88022
119,38043,39722,6465,1874,3132,497,287,47,107,845,2,723,22,0,0,0,4,1,1,91772,bead,leu,leu_bead,16,91772
120,36069,40832,9187,2855,6797,90,305,131,38,1334,12,182,23,0,0,0,4,1,0,97860,bead,leu,leu_bead,15,97860
97,11652,11993,25638,13764,4006,1449,864,51,108,0,1646,566,11,90,1,0,0,1,0,71840,liquid,leu,leu_liquid,15,71840
98,12047,12352,23380,6557,1615,1868,1035,0,159,0,985,908,10,149,0,0,1,0,0,61066,liquid,leu,leu_liquid,13,61066
99,7702,8090,27199,6346,1998,2510,492,124,152,0,2099,775,6,1,0,0,0,0,1,57495,liquid,leu,leu_liquid,14,57495
100,9248,9254,34171,18628,3122,1931,478,666,139,0,3126,919,5,108,0,0,0,0,4,81808,liquid,leu,leu_liquid,14,81799
101,8540,9604,25597,11010,5042,2139,298,96,42,0,1299,944,7,23,0,0,0,0,0,64641,liquid,leu,leu_liquid,13,64641
