iteration,chain,p[1],p[2],p[3],dh,d[1],d[2],d[3],"c[1,1]","c[2,1]","c[3,1]","c[1,2]","c[2,2]","c[3,2]","c[1,3]","c[2,3]","c[3,3]",lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
2001,1,0.6005750264691575,0.621247900937153,0.5379641516397404,0.04926003649415927,0.05427745719686974,0.03537582278318267,0.049856364676743765,0.610996437971455,0.5027844821910059,0.5338866625372629,0.6438870161085948,0.5727658627206228,0.6934502972679508,0.5286501919535133,0.6202210310311417,0.5453576284567073,100.40331787528332,7.0,1.0,0.48455287643301187,100.40331787528332,-91.39099061889468,0.6565232658770839,1.533466446850099,3.0,0.0,0.46999656695595304,0.46999656695595304
2002,1,0.5142380492820811,0.6010564061589958,0.5712670105901436,0.06775991851968804,0.07619011974716124,0.041005723054359115,0.03557518098902353,0.5696262273103706,0.590156303659073,0.4842579009614409,0.6325354147573088,0.5492796786427261,0.6138850892732554,0.6088678094969092,0.602457039592211,0.5199732181895678,101.814445678029,7.0,1.0,1.0,101.814445678029,-92.21943888613545,-0.23882446116199674,-0.9147155568498562,3.0,0.0,0.46999656695595304,0.46999656695595304
2003,1,0.5572256416291711,0.5995067455384728,0.5083816170321951,0.04530968138315232,0.09388751899199782,0.05181423133570759,0.04549482024802041,0.5375339892692951,0.5549281013009578,0.5019638061085115,0.6458458601685156,0.5367278189278264,0.6395686876764278,0.5536466343459014,0.6252322605696116,0.5401537129283016,101.98492983864105,7.0,1.0,0.9958876619046657,101.98492983864105,-92.61351775587426,0.02920882115942902,-0.5904694784430831,3.0,0.0,0.46999656695595304,0.46999656695595304
2004,1,0.4933242084667358,0.6590302702058939,0.6333179872063331,0.0766017004414712,0.06176217547134113,0.028469528106951497,0.03170691246501929,0.5701211427636588,0.5470746175686104,0.5008532219194648,0.6234106135684585,0.5767477076382548,0.6695927242401436,0.6136611229406017,0.599225148179358,0.5558060243028775,104.84309892830242,7.0,1.0,0.9054894105174507,104.84309892830242,-91.9031136732863,0.14780156424103552,0.30231686788361856,3.0,0.0,0.46999656695595304,0.46999656695595304
2005,1,0.5373966523924346,0.6856132186466194,0.6196909370014855,0.05719147320705242,0.058950623432281614,0.028840914846112856,0.03515687253544366,0.5739724207142277,0.5259727047315705,0.4957477445003327,0.6258680217446674,0.5811004024698941,0.6528075254927412,0.6059167457359418,0.6040367305528768,0.5532534986147797,108.1846831047055,7.0,1.0,1.0,108.1846831047055,-95.294344138061,-0.8181765173580686,-0.8914695413133558,3.0,0.0,0.46999656695595304,0.46999656695595304
2006,1,0.5950723270451768,0.5697875731723456,0.5232295913744299,0.058385121148515774,0.066444424850544,0.04602294509745946,0.043306025405925395,0.5975961657345142,0.5285071972455044,0.5074885984969745,0.6629757668744026,0.558831485606661,0.6564413521225128,0.5328711524612967,0.6029980467141997,0.5725039398598321,106.39506184131216,7.0,1.0,0.7177397794774328,106.39506184131216,-96.54031814206084,0.2610477402793663,0.5384257640887569,3.0,0.0,0.46999656695595304,0.46999656695595304
2007,1,0.5958085130109526,0.587572066055892,0.5218875360571695,0.0617141568146239,0.06860766969769591,0.04415792276507766,0.04981269098253246,0.5931804442407766,0.5270879829547754,0.5155949895790096,0.6571754657735043,0.5699135691427392,0.6693343740029103,0.5354826473035867,0.5809288112767457,0.5653425423547515,107.31752466106009,7.0,1.0,0.9989092359336753,107.31752466106009,-98.45280732551598,-0.0849849947136363,-0.5128569585777996,3.0,0.0,0.46999656695595304,0.46999656695595304
2008,1,0.5231165877397544,0.6256757606782164,0.6126437507284439,0.0420708921739682,0.07200835264202345,0.0409454815284665,0.04362495951184438,0.5987788569217654,0.5737488828285652,0.5336135863268394,0.6111107806488069,0.56877577512653,0.6285751938800495,0.5870483381340538,0.6418487368589061,0.5077050445353802,102.57252029487991,7.0,1.0,0.8235742670519294,102.57252029487991,-96.23836524246529,0.4881110904030237,0.4881110904030237,3.0,0.0,0.46999656695595304,0.46999656695595304
2009,1,0.6212592217095849,0.5969676070223678,0.5458484156154718,0.06136664889163841,0.07118560950003087,0.038651260139311625,0.03232482180552643,0.6088479237407038,0.5396727352576106,0.49494157012063633,0.6529378840994785,0.5839023897691884,0.6648912678907973,0.5650992315976421,0.5918735993277301,0.571649145345599,107.51087204618374,7.0,1.0,0.8008307393169852,107.51087204618374,-93.3340775345684,0.1777908941086821,0.7658692689648632,3.0,0.0,0.46999656695595304,0.46999656695595304
2010,1,0.5926417723120657,0.6881602590209722,0.5656905819128101,0.0722582053977489,0.06152099384467552,0.03534980296904971,0.03780721581261769,0.5783132681148668,0.5430494315983335,0.5160366312004239,0.6361733022822559,0.566149565720118,0.646366309336191,0.5737471948186993,0.6276002241424841,0.5266474402051344,110.75959387133975,7.0,1.0,0.8852746534905699,110.75959387133975,-99.86302006110873,-0.014041384494845488,0.5511902777032276,3.0,0.0,0.46999656695595304,0.46999656695595304
